hhnum,food_insecure_flag_adult,adltfscat,foodsufficient,poverty_ratio,poverty_band,snap_any,foodpantry,household_size,num_adults,num_children,num_elderly,employed_adults,any_employed_adult,head_age,head_sex,head_hispanic,head_racecat,head_educcat,head_employment,region,rural,nonmetro,anyvehicle,vehiclenum,caraccess,dist_sm,dist_cs,dist_walmart,nearsnap_dist,nearff_dist,nearnonff_dist,fah_event_count,fah_storetype_unique,fafh_event_count,fafh_schoolmeal_events,targetgroup,hhwgt
100805,0,2,2,0.793405639913232,<=1.0 (at/below poverty),True,0,5,4,1,0,2,1,47.5,2,0,1,4.0,1,4,0,0,1,4,-996,1.73,0.48,2.83,0.48,0.48,0.27,2.0,0.0,13.0,0.0,4,2280.79583424699
100808,0,1,1,1.8876404494382002,1.3-2.0 (low income),True,0,2,2,0,0,2,1,19.0,1,0,2,3.0,1,3,0,0,1,1,-996,1.88,5.81,1.7,0.73,5.79,4.12,1.0,0.0,6.0,0.0,3,11739.5262860423
100810,0,2,2,3.3320590021692,2.0-4.0 (moderate),True,0,4,2,2,0,2,1,27.5,2,0,1,5.0,1,2,0,0,1,2,-996,7.39,0.91,3.74,0.91,2.85,0.83,4.0,0.0,10.0,0.0,3,17892.3590507993
100813,0,2,2,2.77257764550456,2.0-4.0 (moderate),False,0,4,4,0,0,0,0,19.0,2,0,1,3.0,5,1,0,0,0,-996,-996,1.11,0.33,5.35,0.33,0.33,0.32,2.0,0.0,6.0,0.0,3,10384.2873209278
100816,0,2,1,0.0,<=1.0 (at/below poverty),True,0,3,3,0,2,1,1,47.5,2,0,4,4.0,1,1,0,0,1,1,-996,0.44,0.12,1.85,0.12,0.18,0.19,6.0,0.0,2.0,0.0,1,7056.85796672121
100822,1,3,1,0.380700594844679,<=1.0 (at/below poverty),False,0,2,2,0,0,1,1,27.5,1,1,1,1.0,1,3,0,0,0,-996,-996,0.63,0.1,4.43,0.1,0.11,0.09,2.0,0.0,8.0,0.0,1,7173.31162575793
100827,1,4,3,0.0,<=1.0 (at/below poverty),False,0,1,1,0,0,0,0,27.5,1,0,2,3.0,3,3,0,0,0,-996,1,1.15,0.76,1.17,0.76,0.97,0.89,0.0,0.0,6.0,0.0,1,18787.9755935158
100831,0,1,1,4.27336417713153,>4.0 (higher),True,0,2,2,0,0,1,1,62.5,2,0,1,4.0,1,1,0,0,1,2,-996,2.34,1.92,18.25,1.92,2.34,2.08,4.0,0.0,8.0,0.0,3,34083.9895331076
100832,1,4,2,1.5081995661605199,1.3-2.0 (low income),False,0,4,4,0,0,0,0,47.5,2,0,1,4.0,5,1,0,0,1,1,-996,1.13,0.33,4.17,0.33,0.8,0.38,17.0,0.0,10.0,0.0,4,1561.10982743966
100835,0,1,2,9.77618621307072,>4.0 (higher),False,0,1,1,0,0,1,1,27.5,1,0,4,5.0,1,4,0,0,1,1,-996,0.16,0.83,0.86,0.16,0.17,0.17,4.0,0.0,17.0,0.0,3,125480.717419347
100840,0,1,1,1.79257619249677,1.3-2.0 (low income),False,0,2,2,0,1,2,1,85.0,2,0,1,3.0,1,3,0,0,1,1,-996,1.13,0.45,0.44,0.44,0.42,0.43,3.0,0.0,15.0,0.0,2,9696.46583128847
100841,1,4,2,1.89622519108464,1.3-2.0 (low income),True,0,2,2,0,0,0,0,47.5,1,0,1,3.0,5,2,0,0,1,2,-996,0.62,0.25,2.0,0.25,0.21,0.23,4.0,0.0,0.0,0.0,3,6712.08566200728
100843,0,2,2,3.0211032950759,2.0-4.0 (moderate),False,0,5,4,1,0,2,1,27.5,1,0,4,4.0,3,4,1,0,1,3,-996,1.46,1.91,7.77,1.44,1.42,1.04,2.0,0.0,24.0,0.0,4,7466.35906238398
100845,0,1,1,0.0573047245377751,<=1.0 (at/below poverty),True,0,3,3,0,0,1,1,47.5,2,0,1,3.0,3,3,1,0,1,3,-996,3.11,2.31,2.87,1.62,2.87,1.55,1.0,0.0,3.0,0.0,1,4984.75696665766
100857,0,1,1,1.8659755646057,1.3-2.0 (low income),False,0,5,2,3,0,1,1,47.5,1,0,1,6.0,1,1,0,0,1,2,-996,1.25,0.57,4.56,0.37,0.38,0.24,3.0,0.0,21.0,0.0,3,9389.80868497214
100870,0,1,2,2.2119062704558,2.0-4.0 (moderate),False,0,2,2,0,0,2,1,27.5,2,0,4,6.0,1,1,0,0,0,-996,0,0.53,0.09,1.85,0.09,0.29,0.15,0.0,0.0,8.0,0.0,3,6390.26438518508
100875,1,3,1,1.0869739478957898,1.0-1.3 (near poverty),False,0,7,4,3,0,2,1,47.5,2,1,5,1.0,5,4,0,0,1,1,-996,0.48,0.08,1.1,0.08,0.15,0.19,7.0,0.0,8.0,0.0,2,2847.11547966679
100885,0,1,1,2.04118173679499,2.0-4.0 (moderate),False,0,1,1,0,1,0,0,85.0,2,0,1,4.0,5,3,1,0,1,1,-996,5.46,5.96,5.38,5.38,5.23,3.57,3.0,0.0,1.0,0.0,3,15065.814397236
100888,0,1,1,4.07895878524946,>4.0 (higher),True,0,4,4,0,1,1,1,27.5,1,0,4,4.0,5,1,0,0,1,1,-996,0.48,0.32,7.94,0.08,0.21,0.21,5.0,0.0,3.0,0.0,3,40586.7852941358
100889,1,4,4,1.17228690783674,1.0-1.3 (near poverty),True,0,5,2,3,0,2,1,27.5,2,0,1,4.0,1,2,1,0,1,3,-996,12.96,7.22,18.05,0.36,15.94,0.36,2.0,0.0,10.0,0.0,2,3497.58008336121
100900,1,4,3,1.73713439466864,1.3-2.0 (low income),True,0,5,5,0,2,1,1,47.5,2,0,2,4.0,1,3,0,0,1,1,-996,1.51,0.21,0.79,0.21,0.8,0.47,2.0,0.0,6.0,0.0,4,5461.39964473108
100901,0,1,1,0.703389086212463,<=1.0 (at/below poverty),False,0,6,2,4,0,1,1,47.5,2,0,1,4.0,1,3,1,1,1,1,-996,5.03,3.04,18.99,3.04,4.99,3.04,2.0,0.0,20.0,0.0,4,5728.38478834291
100903,1,3,2,0.622880414661236,<=1.0 (at/below poverty),False,0,5,2,3,0,2,1,27.5,2,0,1,4.0,1,3,1,0,1,2,-996,0.64,0.72,2.99,0.64,0.93,0.64,0.0,0.0,22.0,0.0,4,3723.14998289232
100905,0,1,1,2.17368687324785,2.0-4.0 (moderate),False,0,2,1,1,0,0,0,27.5,2,0,1,3.0,5,1,1,0,0,-996,-996,1.8,1.84,3.75,1.46,1.64,1.13,6.0,0.0,9.0,0.0,4,2784.30575818419
100908,1,3,2,0.752014324082363,<=1.0 (at/below poverty),False,0,1,1,0,1,0,0,68.0,2,1,5,1.0,5,4,0,0,1,1,-996,0.63,0.27,1.89,0.27,0.38,0.13,1.0,0.0,0.0,0.0,4,28258.1514731579
100917,0,1,1,1.43707751748041,1.3-2.0 (low income),False,0,4,1,3,0,1,1,27.5,2,0,6,3.0,1,3,1,0,1,1,-996,2.43,0.49,2.44,0.3,0.46,0.34,14.0,0.0,34.0,0.0,2,17457.1803213433
100920,1,3,2,3.33113020489094,2.0-4.0 (moderate),False,0,2,2,0,0,1,1,47.5,2,0,1,3.0,1,3,1,0,1,2,-996,4.96,4.96,5.84,4.96,5.62,4.7,3.0,0.0,2.0,0.0,4,3502.48868757437
100925,0,2,2,2.33232104121475,2.0-4.0 (moderate),False,0,4,2,2,0,2,1,27.5,2,1,1,4.0,1,4,0,0,1,2,-996,2.45,0.8,3.07,0.8,3.56,0.77,0.0,0.0,4.0,0.0,4,6317.77154480841
